DatabaseID TenantID Check Move Time(microsecond)
0 0 0 1 9.624
0 5 5 1 13.088
0 10 10 1 15.784
0 16 3 1 3.08
0 19 19 1 17.323
0 24 24 1 20.788
0 26 6 1 4.235
0 31 31 1 21.943
0 36 8 1 4.619
0 41 41 1 23.097
0 47 10 1 5.39
0 51 51 1 26.562
0 53 12 1 5.775
0 57 57 1 27.332
0 58 14 1 6.159
0 62 15 1 6.544
0 71 16 1 6.93
0 79 17 1 6.929
0 82 18 1 6.929
0 84 19 1 7.699
1 1 1 1 10.779
1 6 6 1 13.474
1 11 11 1 16.553
1 14 6 1 6.159
1 20 20 1 18.093
1 25 25 1 21.557
1 27 13 1 8.469
1 32 32 1 20.787
1 37 17 1 9.624
1 42 42 1 23.867
1 46 20 1 9.624
1 52 23 1 10.394
1 59 27 1 12.319
1 63 29 1 13.088
1 69 69 1 35.801
1 70 31 1 12.319
1 78 33 1 13.088
1 83 36 1 14.628
1 85 18 1 7.699
1 87 67 1 26.562
2 2 2 1 7.699
2 7 7 1 14.243
2 12 12 1 16.938
2 15 10 1 9.624
2 21 21 1 18.863
2 28 19 1 12.318
2 33 33 1 21.943
2 38 25 1 13.858
2 43 43 1 24.638
2 48 31 1 15.783
2 54 35 1 16.553
2 60 39 1 18.093
2 64 42 1 18.863
2 68 68 1 36.186
2 72 47 1 20.017
2 86 34 1 15.399
2 90 16 1 7.315
2 93 33 1 14.243
2 94 18 1 17.323
2 97 19 1 8.085
3 3 3 1 9.624
3 8 8 1 14.628
3 13 13 1 17.323
3 17 15 1 13.859
3 22 22 1 20.787
3 29 25 1 16.168
3 34 34 1 22.327
3 39 33 1 18.478
3 44 44 1 25.407
3 49 41 1 20.403
3 55 46 1 22.712
3 61 51 1 23.868
3 65 55 1 24.637
3 67 67 1 36.186
3 73 62 1 26.177
3 75 75 1 34.646
3 77 77 1 39.266
3 81 81 1 43.116
3 89 49 1 24.253
3 91 36 1 15.398
4 4 4 1 11.934
4 9 9 1 15.399
4 18 18 1 16.938
4 23 23 1 20.403
4 30 30 1 19.633
4 35 35 1 23.483
4 40 40 1 22.713
4 45 45 1 25.792
4 50 50 1 25.023
4 56 56 1 27.332
4 66 66 1 36.186
4 74 74 1 34.262
4 76 76 1 40.42
4 80 80 1 43.116
4 88 48 1 24.252
4 92 32 1 14.243
4 95 35 1 25.792
4 96 36 1 15.784
4 98 18 1 8.47
4 99 19 1 9.624
