DatabaseID TenantID Check Move Time(microsecond)
0 0 0 1 10.009
0 2 1 1 3.08
0 4 2 1 3.079
0 7 3 1 3.08
0 8 4 1 3.465
0 11 5 1 3.849
0 15 6 1 3.85
0 16 7 1 4.234
0 20 8 1 4.619
0 23 9 1 5.004
0 24 10 1 5.389
0 27 11 1 5.389
0 30 12 1 5.775
0 36 36 1 19.247
0 39 14 1 5.775
0 44 15 1 6.159
0 47 47 1 25.022
0 50 50 1 23.482
0 53 53 1 28.871
0 58 58 1 29.257
1 1 1 1 8.854
1 3 3 1 6.16
1 5 5 1 6.544
1 6 6 1 6.16
1 9 9 1 7.699
1 10 10 1 7.314
1 14 12 1 7.699
1 17 15 1 9.239
1 21 17 1 9.624
1 22 18 1 9.239
1 25 21 1 11.549
1 26 22 1 10.779
1 31 25 1 11.933
1 35 35 1 19.248
1 38 28 1 12.703
1 42 30 1 12.318
1 49 49 1 23.482
1 57 57 1 29.641
1 59 39 1 24.252
1 63 43 1 26.562
2 12 12 1 13.858
2 18 17 1 11.934
2 28 26 1 14.629
2 32 29 1 15.398
2 34 30 1 15.783
2 40 35 1 16.938
2 43 37 1 17.323
2 48 40 1 18.863
2 56 56 1 29.642
2 60 40 1 25.407
2 67 10 1 5.774
2 68 28 1 16.553
2 70 30 1 16.938
2 73 33 1 18.863
2 76 14 1 6.545
2 77 37 1 18.477
2 80 40 1 20.018
2 83 43 1 21.942
2 86 18 1 8.084
2 89 49 1 22.327
3 13 13 1 12.704
3 29 28 1 17.323
3 33 32 1 18.478
3 37 36 1 21.173
3 41 40 1 20.403
3 45 44 1 25.022
3 51 49 1 25.022
3 55 55 1 29.256
3 61 41 1 26.177
3 64 19 1 10.009
3 66 26 1 15.013
3 71 31 1 18.093
3 74 26 1 11.934
3 78 38 1 19.633
3 81 41 1 21.172
3 84 44 1 22.712
3 87 35 1 15.398
3 90 30 1 15.013
3 92 32 1 16.938
3 94 34 1 16.938
4 19 19 1 14.628
4 46 46 1 24.637
4 52 52 1 28.102
4 54 54 1 29.642
4 62 42 1 26.562
4 65 25 1 14.243
4 69 29 1 16.938
4 72 32 1 18.862
4 75 35 1 16.938
4 79 39 1 19.632
4 82 42 1 21.558
4 85 45 1 23.482
4 88 48 1 21.558
4 91 31 1 15.783
4 93 33 1 16.938
4 95 15 1 8.854
4 96 16 1 10.008
4 97 17 1 10.009
4 98 18 1 10.779
4 99 19 1 11.163
