DatabaseID TenantID Check Move Time(ns)
0 0 0 1 10.009
0 2 1 1 3.465
0 4 2 1 3.079
0 8 3 1 3.464
0 10 4 1 3.85
0 16 5 1 3.849
0 21 21 1 27.332
0 27 7 1 4.235
0 31 31 1 29.641
0 38 38 1 19.248
0 41 41 1 24.637
0 46 46 1 27.332
0 50 12 1 5.774
0 53 53 1 26.947
0 58 58 1 29.641
0 65 15 1 6.544
0 67 67 1 29.642
0 70 70 1 29.256
0 73 73 1 33.491
0 74 19 1 8.084
1 1 1 1 11.933
1 3 3 1 6.159
1 5 5 1 6.545
1 6 6 1 6.159
1 9 8 1 7.314
1 11 10 1 8.084
1 14 11 1 7.314
1 19 19 1 15.783
1 22 22 1 20.018
1 29 29 1 22.712
1 32 32 1 48.89
1 37 37 1 19.632
1 42 42 1 26.177
1 47 47 1 28.102
1 48 26 1 11.934
1 54 54 1 28.101
1 59 59 1 30.411
1 62 32 1 13.088
1 69 69 1 28.102
1 77 19 1 8.084
2 7 7 1 6.929
2 12 12 1 11.163
2 18 18 1 15.784
2 23 23 1 20.787
2 26 20 1 11.934
2 33 33 1 23.867
2 36 26 1 14.628
2 43 43 1 25.792
2 49 35 1 16.553
2 55 55 1 29.257
2 60 60 1 31.182
2 63 44 1 18.478
2 68 47 1 20.402
2 75 32 1 13.088
2 78 14 1 6.544
2 81 41 1 19.248
2 84 44 1 23.097
2 85 45 1 25.792
2 87 18 1 7.699
2 89 49 1 20.788
3 13 13 1 11.934
3 17 16 1 14.629
3 24 24 1 79.301
3 30 26 1 17.323
3 34 34 1 23.867
3 39 34 1 20.018
3 44 44 1 26.177
3 51 44 1 21.942
3 56 56 1 29.256
3 61 61 1 32.337
3 64 55 1 23.482
3 71 61 1 27.332
3 76 45 1 19.633
3 79 28 1 13.088
3 83 43 1 23.483
3 86 33 1 13.088
3 90 16 1 17.323
3 93 33 1 15.783
3 94 18 1 8.084
3 96 19 1 20.018
4 15 15 1 11.933
4 20 20 1 18.862
4 25 25 1 21.942
4 28 28 1 18.093
4 35 35 1 27.717
4 40 40 1 23.867
4 45 45 1 26.947
4 52 52 1 26.562
4 57 57 1 29.642
4 66 66 1 29.641
4 72 72 1 32.721
4 80 40 1 18.863
4 82 42 1 24.253
4 88 48 1 20.787
4 91 31 1 14.628
4 92 32 1 15.013
4 95 35 1 15.398
4 97 17 1 8.469
4 98 18 1 8.469
4 99 19 1 27.717
