DatabaseID TenantID Check Move Time(microsecond)
0 52 0 1 12.704
0 57 5 1 27.332
0 0 2 1 6.16
0 10 3 1 6.159
0 15 25 1 35.416
0 20 30 1 39.266
0 4 6 1 6.929
0 9 39 1 40.42
0 36 8 1 8.469
0 41 45 1 43.5
0 46 50 1 47.735
0 24 11 1 8.854
0 50 12 1 9.239
0 78 13 1 10.009
0 83 65 1 454.632
0 28 15 1 42.345
0 33 77 1 231.743
0 70 17 1 47.349
0 74 18 1 49.274
0 90 19 1 51.584
1 53 1 1 13.859
1 58 6 1 28.871
1 65 13 1 38.496
1 1 6 1 13.859
1 11 8 1 13.858
1 16 26 1 36.956
1 21 31 1 40.806
1 5 14 1 15.783
1 37 17 1 17.708
1 42 46 1 45.04
1 47 51 1 53.124
1 25 23 1 26.947
1 51 25 1 20.018
1 79 27 1 20.788
1 84 66 1 212.111
1 29 31 1 91.234
1 71 34 1 98.163
1 73 83 1 251.76
1 75 37 1 103.168
1 68 19 1 58.129
2 54 2 1 23.482
2 59 7 1 29.257
2 64 12 1 34.646
2 2 10 1 20.017
2 12 13 1 20.402
2 17 27 1 37.726
2 22 32 1 41.576
2 6 22 1 23.482
2 38 26 1 25.792
2 43 47 1 46.194
2 26 34 1 28.102
2 80 39 1 30.412
2 85 67 1 204.412
2 30 45 1 133.964
2 72 49 1 141.664
2 76 53 1 151.672
2 91 35 1 95.084
2 94 17 1 45.809
2 96 18 1 46.58
2 98 19 1 48.504
3 55 3 1 20.788
3 60 8 1 30.412
3 63 11 1 32.721
3 67 15 1 38.11
3 3 15 1 26.562
3 13 19 1 47.735
3 18 28 1 39.265
3 23 33 1 42.345
3 7 31 1 31.567
3 39 36 1 34.646
3 44 48 1 46.965
3 49 53 1 49.274
3 27 47 1 41.191
3 81 53 1 40.805
3 86 68 1 214.805
3 89 71 1 782.613
3 31 62 1 737.574
3 35 79 1 324.132
3 77 72 1 207.106
3 92 55 1 170.151
4 56 4 1 25.407
4 61 9 1 31.181
4 62 10 1 34.646
4 66 14 1 38.88
4 14 24 1 33.876
4 19 29 1 39.65
4 8 38 1 39.266
4 40 44 1 43.115
4 45 49 1 48.119
4 48 52 1 50.429
4 82 64 1 187.088
4 87 69 1 215.575
4 88 70 1 1227.237
4 32 76 1 223.274
4 34 78 1 1154.481
4 93 51 1 132.04
4 69 33 1 83.92
4 95 35 1 92.004
4 97 37 1 107.402
4 99 19 1 48.889
